region_id,matched_legend_id,match_score,symbol_final,symbol_terminal,symbol_html,symbol_latex,symbol_conf,legend_text,legend_color_name,legend_color_rgb,area_px,centroid_x,centroid_y
2586,34,0.811342664896407,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1564,141.6153846153846,4438.2307692307695
2587,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1426,6378.0,4443.0
2588,34,0.9747258982761504,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",22344,5596.25,4454.5
2589,34,0.9747258982761504,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",20710,5616.0,4454.5
2590,34,0.9747258982761504,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",21799,5635.5,4454.5
2591,34,0.9747258982761504,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",21799,5655.5,4454.5
2592,34,0.9747258982761504,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",22889,5676.0,4454.5
2593,34,0.9747258982761504,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",21799,5696.5,4454.5
2594,34,0.9747258982761504,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",21799,5716.5,4454.5
2595,34,0.9747258982761504,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",21799,5736.5,4454.5
2596,34,0.9747258982761504,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",21799,5756.5,4454.5
2597,34,0.9747258982761504,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",21799,5776.5,4454.5
2598,34,0.9747258982761504,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",621303,6071.0,4454.0
2599,34,0.9747258982761504,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",629249,4986.272727272727,4271.0
2600,34,0.9747258982761504,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",21819,5472.5,4455.0
2601,34,0.9747258982761504,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",21819,5492.5,4455.0
2602,34,0.9747258982761504,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",21819,5512.5,4455.0
2603,34,0.9747258982761504,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",21819,5532.5,4455.0
2604,34,0.9747258982761504,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",47442,5564.25,4454.75
2605,35,0.8350976058398656,Unknown,Unknown,,Unknown,0.0,,violet,"[224, 137, 223]",13817,4457.236111111111,4437.777777777777
2606,64,1.0,Unknown,Unknown,,Unknown,0.0,,darksalmon,"[217, 140, 140]",12921,747.2375,4493.125
2607,34,0.7474374184601957,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1701,112.0,4461.0
2608,64,1.0,Unknown,Unknown,,Unknown,0.0,,darksalmon,"[217, 140, 140]",13077,896.92,4447.32
2609,28,1.0,Unknown,Unknown,,Unknown,0.0,,violet,"[239, 95, 238]",24886,988.3448275862069,4423.275862068966
2610,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1576,6378.0,4463.0
2611,3,0.9933947272215522,Unknown,Unknown,,Unknown,0.0,,khaki,"[236, 236, 139]",5434,4690.586206896552,4462.126436781609
2612,35,0.9841322186963978,Unknown,Unknown,,Unknown,0.0,,violet,"[224, 137, 223]",12240,3308.232558139535,4465.46511627907
2613,18,1.0,Unknown,Unknown,,Unknown,0.0,,palevioletred,"[240, 82, 141]",2560,175.68085106382978,4454.276595744681
2614,57,0.8903912368651061,Unknown,Unknown,,Unknown,0.0,,wheat,"[236, 224, 188]",12093,4188.855555555556,4448.111111111111
2615,59,0.9974187224727588,Unknown,Unknown,,Unknown,0.0,,khaki,"[239, 237, 116]",43068,1797.2222222222222,4497.472222222223
2616,59,0.9971117923502347,Unknown,Unknown,,Unknown,0.0,,khaki,"[239, 237, 116]",39718,2011.6521739130435,4478.391304347826
2617,35,0.9844610919562072,Unknown,Unknown,,Unknown,0.0,,violet,"[224, 137, 223]",14546,3842.9333333333334,4489.866666666667
2618,25,0.990966959603244,Unknown,Unknown,,Unknown,0.0,,limegreen,"[64, 236, 83]",101592,2384.823529411765,4556.411764705882
2619,34,0.7474374184601957,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1539,112.0,4481.0
2620,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1466,6410.941176470588,4483.882352941177
2621,35,0.992402031544944,Unknown,Unknown,,Unknown,0.0,,violet,"[224, 137, 223]",1143,4081.3880597014927,4490.746268656716
2622,18,1.0,Unknown,Unknown,,Unknown,0.0,,palevioletred,"[240, 82, 141]",12228,258.2739726027397,4480.465753424657
2623,35,1.0,Unknown,Unknown,,Unknown,0.0,,violet,"[224, 137, 223]",5982,3719.904761904762,4488.333333333333
2624,34,0.7474374184601957,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1715,98.33333333333333,4499.833333333333
2625,53,0.9889876406132752,Unknown,Unknown,,Unknown,0.0,,tomato,"[241, 87, 88]",9712,3529.657894736842,4486.4473684210525
2626,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1536,6410.764705882353,4500.235294117647
2627,35,0.9976328119015768,Unknown,Unknown,,Unknown,0.0,,violet,"[224, 137, 223]",14223,3453.253968253968,4484.539682539683
2628,57,1.0,Unknown,Unknown,,Unknown,0.0,,wheat,"[236, 224, 188]",1804,4145.024390243902,4514.414634146341
2629,42,0.9527494733970898,Unknown,Unknown,,Unknown,0.0,,indianred,"[226, 89, 88]",2852,4265.274509803921,4509.431372549019
2630,34,0.7474374184601957,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1640,111.5,4521.5
2631,3,0.8785815651736902,Unknown,Unknown,,Unknown,0.0,,khaki,"[236, 236, 139]",10122,4377.302083333333,4526.59375
2632,42,1.0,Unknown,Unknown,,Unknown,0.0,,indianred,"[226, 89, 88]",2326,4340.775,4520.8875
2633,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1596,6394.3,4522.7
2634,35,1.0,Unknown,Unknown,,Unknown,0.0,,violet,"[224, 137, 223]",8073,3691.306818181818,4535.647727272727
2635,42,1.0,Unknown,Unknown,,Unknown,0.0,,indianred,"[226, 89, 88]",3700,4308.291666666667,4505.229166666667
2636,18,1.0,Unknown,Unknown,,Unknown,0.0,,palevioletred,"[240, 82, 141]",4619,195.66666666666666,4532.6
2637,34,0.7474374184601957,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1639,128.71428571428572,4538.285714285715
2638,53,0.9804615146455801,Unknown,Unknown,,Unknown,0.0,,tomato,"[241, 87, 88]",8911,3631.8985507246375,4529.623188405797
2639,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1444,6394.3,4542.7
2640,18,1.0,Unknown,Unknown,,Unknown,0.0,,palevioletred,"[240, 82, 141]",12679,337.7816091954023,4560.770114942528
2641,28,1.0,Unknown,Unknown,,Unknown,0.0,,violet,"[239, 95, 238]",19094,1090.139534883721,4497.023255813953
2642,53,0.9957632180398557,Unknown,Unknown,,Unknown,0.0,,tomato,"[241, 87, 88]",6723,3548.0172413793102,4580.137931034483
2643,57,0.9020348249881066,Unknown,Unknown,,Unknown,0.0,,wheat,"[236, 224, 188]",9870,4257.061728395061,4570.62962962963
2644,57,0.9457302979805551,Unknown,Unknown,,Unknown,0.0,,wheat,"[236, 224, 188]",7130,4166.527272727273,4592.218181818182
2645,34,0.7578976930900128,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1651,125.33333333333333,4561.166666666667
2646,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1596,6394.3,4562.7
2647,42,0.9833033382798088,Unknown,Unknown,,Unknown,0.0,,indianred,"[226, 89, 88]",11229,2693.0882352941176,4578.588235294118
2648,35,1.0,Unknown,Unknown,,Unknown,0.0,,violet,"[224, 137, 223]",14383,4033.8709677419356,4528.064516129032
2649,35,0.9846639771205803,Unknown,Unknown,,Unknown,0.0,,violet,"[224, 137, 223]",10529,3844.862068965517,4568.413793103448
2650,35,0.8722694238410433,Unknown,Unknown,,Unknown,0.0,,violet,"[224, 137, 223]",6912,3462.6050420168067,4583.638655462185
2651,35,1.0,Unknown,Unknown,,Unknown,0.0,,violet,"[224, 137, 223]",14340,3783.625,4608.15625
2652,34,0.7977562612770853,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1576,129.42857142857142,4581.0
2653,18,1.0,Unknown,Unknown,,Unknown,0.0,,palevioletred,"[240, 82, 141]",3825,191.83333333333334,4603.583333333333
2654,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1444,6394.3,4582.7
2655,28,1.0,Unknown,Unknown,,Unknown,0.0,,violet,"[239, 95, 238]",13075,1322.0689655172414,4594.896551724138
2656,64,1.0,Unknown,Unknown,,Unknown,0.0,,darksalmon,"[217, 140, 140]",13566,690.4516129032259,4573.774193548387
2657,64,0.9570867622957405,Unknown,Unknown,,Unknown,0.0,,darksalmon,"[217, 140, 140]",31413,959.9375,4624.0625
